natuurgebiednummer;natuurgebiednaam;oppervlakte;centerpunt_x;centerpunt_y
263;"Terr. bij Exloo *";"2.20.50";;
264;"Terr. bij Koningslust *";"0.79.91";;
265;"Esveldsbos";"8.63.09";;
266;"Appelbergen";"0.80.30";;
267;"De Duinen";"9.96.20";;
269;"Dal van de Rode Beek";"18.48.73";;
270;"Noordpolder van Ossendrecht";"119.88.25";;
271;"Uffelse Beek";"4.64.65";;
272;"Lionserpolder";"109.24.83";;
273;"De Maaij";"47.83.23";;
274;"Polder Noord-Kethel";"76.74.41";;
275;"Raalterwoold";"4.49.97";;
277;"Terr. bij Sluis *";"1.48.04";;
278;"Overige gebouwen insp. N-Holland en Utr.*";"0.07.83";;
279;"Markdal";"26.08.85";;
280;"Overige gebouwen insp. Gr., Fr. en Dr.*";"0.19.01";;
281;"Overige gebouwen insp. Overijssel/Flevoland *";"0.00.00";;
282;"Overige gebouwen insp. Gelderland *";"0.00.00";;
283;"Overige gebouwen insp. Z-Holland en Zeel.*";"0.00.94";;
284;"Overige gebouwen insp. N-Brabant en Limb.*";"0.00.00";;
286;"Beurzerbeek";"9.43.07";;
287;"Hinderdam";"17.63.50";;
288;"Stortelersbeek";"5.37.54";;
289;"Laegieskamp";"33.13.42";;
290;"Uithuizerwad";"51.70.39";;
291;"Keversbroek";"42.10.47";;
292;"Weerterheide";"23.23.68";;
293;"Stippelberg";"975.15.84";;
294;"Beekbergerwoud";"77.98.95";;
295;"Horstermeerpolder";"118.91.75";;
296;"Velperwaarden";"17.79.00";;
297;"Boekesteyn";"49.28.36";;
299;"Polder Groot-Mijdrecht";"127.21.80";;
300;"Dalkenschoten";"11.81.20";;
301;"Fort aan de Middenweg";"5.15.70";;
302;"Fort aan de Jisperweg";"4.65.66";;
303;"Het Hol";"183.95.90";;
304;"Wijde Blik";"16.10.33";;
305;"Fort Kijkuit";"1.65.09";;
306;"Uitermeer";"4.07.10";;
307;"Heioord";"7.29.95";;
308;"Bovenlanden Kromme Mijdrecht";"45.95.10";;
309;"Achttienhovense Polder";"0.00.00";;
311;"Soerense Broek";"5.67.00";;
312;"Spiegelplas";"94.75.57";;
313;"Damlanderpolder";"23.86.95";;
314;"Terr. bij Zuidlaren *";"5.78.30";244667;567734
315;"Fort Nieuwersluis";"6.86.89";;
316;"Voorstonden";"187.86.09";;
318;"Zwarte Broek";"5.65.75";;
319;"Blekslage";"0.00.00";;
320;"De Birkt";"2.78.70";;
321;"Moergestelse Broek";"89.16.54";;
322;"Sint-Pietersberg";"93.55.32";;
323;"Groot Eiland";"0.00.00";;
324;"Terr. bij Emst *";"5.98.10";;
325;"Brunssummerheide";"191.22.19";;
326;"Biezelingse Ham";"0.00.00";;
327;"Strijthagerbeekdal";"26.23.61";;
328;"Beekbergse Beek";"1.03.35";;
329;"Hoge Broek";"15.98.67";;
330;"Beneden-Dinkeldal";"2.48.00";;
331;"Coelhorst";"84.08.00";;
332;"De Poel";"142.14.50";;
333;"Schenge";"50.96.70";;
334;"Vlijmens Ven";"56.98.85";;
335;"Terr. bij Paasloo *";"4.92.60";;
336;"De Wieden (3)";"1361.24.91";199991;519732
337;"Voorsterbos";"561.65.61";;
338;"Vogeleiland";"30.36.00";;
339;"Zwarte Meer";"256.78.55";;
340;"Harderbos";"522.58.43";;
341;"Kievitslanden";"193.72.76";;
342;"Harderbroek";"186.42.53";;
343;"Stoutenburg";"11.12.63";;
344;"Werkschuur Veluwezoom";"0.00.00";;
345;"Werkschuur Midden-Brabant";"0.00.00";;
349;"Slotplaats";"201.61.60";;
350;"Verdronken Land van Zuid-Beveland";"426.77.21";;
351;"Hegewiersterfjild";"37.58.10";;
352;"Flietsterbosk";"0.00.00";;
354;"Terworm";"0.00.00";;
355;"Laurabossen";"190.11.20";;
356;"Bodegraven-Noord";"118.38.20";;
357;"Korenwolf (tijdelijke naam)";"5.91.00";;
358;"Graverijpolder *";"17.35.40";;
359;"Lycklamabos";"98.72.40";;
360;"IJsbaan Losser";"0.33.18";;
361;"Beetsterzwaag";"8.67.09";;
362;"Den Alerdinck";"5.60.20";;
363;"Wormdal";"0.00.00";;
364;"Platen van Hulst";"43.92.20";;
366;"Loterijlanden";"0.00.00";;
367;"Ruilgronden Groningen";"0.00.00";;
368;"Ruilgronden Friesland";"0.00.00";;
369;"Ruilgronden Drenthe";"10.82.96";;
370;"Ruilgronden Overijssel";"0.00.00";;
371;"Ruilgronden Flevoland";"0.00.00";;
372;"Ruilgronden Gelderland";"1.48.90";;
373;"Ruilgronden Utrecht";"0.00.00";;
374;"Ruilgronden Noord-Holland";"0.00.00";;
375;"Ruilgronden Zuid-Holland";"0.00.00";;
376;"Ruilgronden Zeeland";"0.00.00";;
377;"Ruilgronden Noord-Brabant";"0.00.00";;
378;"Ruilgronden Limburg";"0.00.00";;
379;"Zuiderfennenspolder";"0.00.00";;
404;"test";"0.00.00";;
405;"testgebied";"0.00.00";;
406;"Heitje van Rooie Alltje";"0.00.00";;
407;"De Lange leegte";"0.00.00";;
408;"Het Achtertuintje";"17.17.73";;
